Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Oslo - Blindern;SN18700;01.02.1937;-6,5;-;-8,5;-;-
Oslo - Blindern;SN18700;02.02.1937;-4,9;-;-7,4;-;-
Oslo - Blindern;SN18700;03.02.1937;-6,1;-;-10,5;-;-
Oslo - Blindern;SN18700;04.02.1937;-3,7;-;-7,8;-;-
Oslo - Blindern;SN18700;05.02.1937;-2,7;-;-5,2;-;-
Oslo - Blindern;SN18700;06.02.1937;-1,2;-;-4,6;-;-
Oslo - Blindern;SN18700;07.02.1937;-4,5;-;-6;-;-
Oslo - Blindern;SN18700;08.02.1937;-9;-;-12;-;-
Oslo - Blindern;SN18700;09.02.1937;-8,5;-;-13,5;-;-
Oslo - Blindern;SN18700;10.02.1937;-3,1;-;-11,9;-;-
Oslo - Blindern;SN18700;11.02.1937;-1,1;-;-4,1;-;-
Oslo - Blindern;SN18700;12.02.1937;-1,1;-;-2,4;-;-
Oslo - Blindern;SN18700;13.02.1937;-3,9;-;-4,3;-;-
Oslo - Blindern;SN18700;14.02.1937;-6,3;-;-11,2;-;-
Oslo - Blindern;SN18700;15.02.1937;-0,2;-;-9,5;-;-
Oslo - Blindern;SN18700;16.02.1937;-3,7;-;-5;-;-
Oslo - Blindern;SN18700;17.02.1937;-0,5;-;-6,5;-;-
Oslo - Blindern;SN18700;18.02.1937;-3,8;-;-5,9;-;-
Oslo - Blindern;SN18700;19.02.1937;-4,3;-;-8,4;-;-
Oslo - Blindern;SN18700;20.02.1937;-2,9;-;-5,6;-;-
Oslo - Blindern;SN18700;21.02.1937;-2,3;-;-6;-;-
Oslo - Blindern;SN18700;22.02.1937;-2,4;-;-5;-;-
Oslo - Blindern;SN18700;23.02.1937;-3,8;-;-5,3;-;-
Oslo - Blindern;SN18700;24.02.1937;-3,1;-;-8,3;-;-
Oslo - Blindern;SN18700;25.02.1937;-7,6;-;-12,5;-;-
Oslo - Blindern;SN18700;26.02.1937;-7,4;-;-12,5;-;-
Oslo - Blindern;SN18700;27.02.1937;-4,2;-;-10,3;-;-
Oslo - Blindern;SN18700;28.02.1937;1,1;-;-6,4;-;-
Oslo - Blindern;SN18700;01.03.1937;1,6;2,5;0;10,6;-
Oslo - Blindern;SN18700;02.03.1937;1,5;2,4;0,8;5,4;-
Oslo - Blindern;SN18700;03.03.1937;0;2;-0,7;1,2;-
Oslo - Blindern;SN18700;04.03.1937;-1,5;0,3;-3,3;4,8;-
Oslo - Blindern;SN18700;05.03.1937;-4,5;-1;-6;0;-
Oslo - Blindern;SN18700;06.03.1937;-4,9;-2,8;-6;0,8;-
Oslo - Blindern;SN18700;07.03.1937;-8,7;-1,6;-15,6;0;-
Oslo - Blindern;SN18700;08.03.1937;-9,1;-2;-12,2;0;-
Oslo - Blindern;SN18700;09.03.1937;-9,5;-1,5;-16,9;0;-
Oslo - Blindern;SN18700;10.03.1937;-8,7;-6,2;-14,2;0;-
Oslo - Blindern;SN18700;11.03.1937;-13,9;-9;-14,4;0;-
Oslo - Blindern;SN18700;12.03.1937;-12,1;-9,9;-15,3;0,1;-
Oslo - Blindern;SN18700;13.03.1937;-7,1;-6;-9,9;0,5;-
Oslo - Blindern;SN18700;14.03.1937;-5,8;-2,8;-8;0,7;-
Oslo - Blindern;SN18700;15.03.1937;-2;0,2;-5;0,5;-
Oslo - Blindern;SN18700;16.03.1937;1;3;-1,3;10;-
Oslo - Blindern;SN18700;17.03.1937;1,9;4,2;0,4;2,1;-
Oslo - Blindern;SN18700;18.03.1937;-1,3;2;-2,2;0;-
Oslo - Blindern;SN18700;19.03.1937;-1;1;-7,5;0;-
Oslo - Blindern;SN18700;20.03.1937;2,3;5,5;0;0,1;-
Oslo - Blindern;SN18700;21.03.1937;1,5;2,2;0,6;0;-
Oslo - Blindern;SN18700;22.03.1937;1,4;2,8;-0,1;0;-
Oslo - Blindern;SN18700;23.03.1937;1,8;6,2;-2,5;0;-
Oslo - Blindern;SN18700;24.03.1937;0,5;6;-6,8;0;-
Oslo - Blindern;SN18700;25.03.1937;0,3;2;-1,9;0;-
Oslo - Blindern;SN18700;26.03.1937;-0,5;0,4;-1,3;2,7;-
Oslo - Blindern;SN18700;27.03.1937;1,1;3,2;-1,2;0,8;-
Oslo - Blindern;SN18700;28.03.1937;0,7;2,9;-1,6;0;-
Oslo - Blindern;SN18700;29.03.1937;0,7;6,7;-5,1;0;-
Oslo - Blindern;SN18700;30.03.1937;1,3;5,7;-5,6;0;-
Oslo - Blindern;SN18700;31.03.1937;-0,3;5,3;-9;0;-
Oslo - Blindern;SN18700;01.04.1937;1,1;8,3;-6,5;0;-
Oslo - Blindern;SN18700;02.04.1937;1;4,8;-4,1;0;-
Oslo - Blindern;SN18700;03.04.1937;2,1;4,3;0,8;0,1;-
Oslo - Blindern;SN18700;04.04.1937;3,5;5,8;1,5;1,4;-
Oslo - Blindern;SN18700;05.04.1937;3,3;5,5;2,4;0;-
Oslo - Blindern;SN18700;06.04.1937;4,4;7;2,9;2;-
Oslo - Blindern;SN18700;07.04.1937;5,3;10,9;2,6;0,7;-
Oslo - Blindern;SN18700;08.04.1937;5,1;7,3;3,1;0;-
Oslo - Blindern;SN18700;09.04.1937;4,6;6,6;3;1,4;-
Oslo - Blindern;SN18700;10.04.1937;3,7;4,8;3,2;2,4;-
Oslo - Blindern;SN18700;11.04.1937;4,4;7,2;2,5;0;-
Oslo - Blindern;SN18700;12.04.1937;5,9;8,9;3;0;-
Oslo - Blindern;SN18700;13.04.1937;6,4;10;3,8;0;-
Oslo - Blindern;SN18700;14.04.1937;6,5;11,4;2,8;0,2;-
Oslo - Blindern;SN18700;15.04.1937;7,5;11,8;2,8;0,5;-
Oslo - Blindern;SN18700;16.04.1937;5,3;9,6;3,4;9,1;-
Oslo - Blindern;SN18700;17.04.1937;5,5;6,4;4,4;7,4;-
Oslo - Blindern;SN18700;18.04.1937;5,1;6,1;5;6,5;-
Oslo - Blindern;SN18700;19.04.1937;5;6,4;4,1;7,3;-
Oslo - Blindern;SN18700;20.04.1937;5,3;5,9;4,7;4,7;-
Oslo - Blindern;SN18700;21.04.1937;8,6;12,2;4,9;3,1;-
Oslo - Blindern;SN18700;22.04.1937;8,4;11,6;6;0,1;-
Oslo - Blindern;SN18700;23.04.1937;7,8;13,2;4,5;4,8;-
Oslo - Blindern;SN18700;24.04.1937;5,9;9,6;4,5;0,6;-
Oslo - Blindern;SN18700;25.04.1937;7,4;11;4,3;1,6;-
Oslo - Blindern;SN18700;26.04.1937;8,1;10,2;6,4;0,7;-
Oslo - Blindern;SN18700;27.04.1937;8,7;11;6,5;0,1;-
Oslo - Blindern;SN18700;28.04.1937;9,4;14,5;5,3;0;-
Oslo - Blindern;SN18700;29.04.1937;11,7;18,6;2,9;0;-
Oslo - Blindern;SN18700;30.04.1937;13,9;20,5;5,1;0;-
Oslo - Blindern;SN18700;01.05.1937;11,2;17,5;5,1;0;-
Oslo - Blindern;SN18700;02.05.1937;11,7;20,1;3,2;0;-
Oslo - Blindern;SN18700;03.05.1937;12,1;20,2;2;0;-
Oslo - Blindern;SN18700;04.05.1937;12,8;20,3;3;0;-
Oslo - Blindern;SN18700;05.05.1937;12,4;19,2;7;0;-
Oslo - Blindern;SN18700;06.05.1937;10;13;8,9;5,5;-
Oslo - Blindern;SN18700;07.05.1937;8,5;9,8;7;4,7;-
Oslo - Blindern;SN18700;08.05.1937;11,1;15,5;6,7;0,5;-
Oslo - Blindern;SN18700;09.05.1937;7,8;15,4;5,8;0;-
Oslo - Blindern;SN18700;10.05.1937;8,3;10,2;7,2;0;-
Oslo - Blindern;SN18700;11.05.1937;7,3;10,2;5,6;2,1;-
Oslo - Blindern;SN18700;12.05.1937;10,9;16,4;5,9;2,5;-
Oslo - Blindern;SN18700;13.05.1937;13,1;18;8;0;-
Oslo - Blindern;SN18700;14.05.1937;12;17,5;7,2;0;-
Oslo - Blindern;SN18700;15.05.1937;10;12;8,7;0,5;-
Oslo - Blindern;SN18700;16.05.1937;8,6;10,4;5,7;1,6;-
Oslo - Blindern;SN18700;17.05.1937;9,7;10,4;9,1;15,8;-
Oslo - Blindern;SN18700;18.05.1937;12,3;16,6;8,2;6;-
Oslo - Blindern;SN18700;19.05.1937;12,8;18;5,5;0;-
Oslo - Blindern;SN18700;20.05.1937;10,6;16,8;9,8;7;-
Oslo - Blindern;SN18700;21.05.1937;15,1;18,7;11,2;7;-
Oslo - Blindern;SN18700;22.05.1937;14,3;17,8;13,3;0;-
Oslo - Blindern;SN18700;23.05.1937;15,3;20,8;9,6;6,7;-
Oslo - Blindern;SN18700;24.05.1937;12,9;16;9,8;0;-
Oslo - Blindern;SN18700;25.05.1937;15,1;20,3;10,9;4,5;-
Oslo - Blindern;SN18700;26.05.1937;15,7;22,6;11,5;0;-
Oslo - Blindern;SN18700;27.05.1937;13,9;18,4;9,1;0;-
Oslo - Blindern;SN18700;28.05.1937;13,1;16,8;7,9;5,7;-
Oslo - Blindern;SN18700;29.05.1937;12,4;16;9,4;0;-
Oslo - Blindern;SN18700;30.05.1937;10,8;15,5;5,2;0;-
Oslo - Blindern;SN18700;31.05.1937;14,1;17,6;11,1;4,2;-
Oslo - Blindern;SN18700;01.06.1937;11,2;16,2;4,6;0,8;-
Oslo - Blindern;SN18700;02.06.1937;10,6;14,5;6,9;0;-
Oslo - Blindern;SN18700;03.06.1937;10;15,4;3,5;7,5;-
Oslo - Blindern;SN18700;04.06.1937;10;13,2;6;0;-
Oslo - Blindern;SN18700;05.06.1937;9,9;13,2;7,2;0;-
Oslo - Blindern;SN18700;06.06.1937;11,6;13,8;9,4;3,3;-
Oslo - Blindern;SN18700;07.06.1937;15;18,7;11,1;0,6;-
Oslo - Blindern;SN18700;08.06.1937;16,3;20,7;10,3;0;-
Oslo - Blindern;SN18700;09.06.1937;15,8;20,1;10,6;2,8;-
Oslo - Blindern;SN18700;10.06.1937;14,2;18,3;9,7;0;-
Oslo - Blindern;SN18700;11.06.1937;14,7;19,9;11,4;0;-
Oslo - Blindern;SN18700;12.06.1937;15,1;19,2;9,5;0;-
Oslo - Blindern;SN18700;13.06.1937;15,4;20;7,6;0;-
Oslo - Blindern;SN18700;14.06.1937;16,9;21,2;10,7;0;-
Oslo - Blindern;SN18700;15.06.1937;13,1;20,4;9,8;0;-
Oslo - Blindern;SN18700;16.06.1937;14,9;19,4;12,2;4,6;-
Oslo - Blindern;SN18700;17.06.1937;11,3;14,6;9,9;11,3;-
Oslo - Blindern;SN18700;18.06.1937;12,1;15,7;9,8;0;-
Oslo - Blindern;SN18700;19.06.1937;13,2;19,1;7,3;1;-
Oslo - Blindern;SN18700;20.06.1937;15,6;21;11,3;0,6;-
Oslo - Blindern;SN18700;21.06.1937;14,9;17,8;13,8;1,1;-
Oslo - Blindern;SN18700;22.06.1937;14,8;18,3;12,8;20,5;-
Oslo - Blindern;SN18700;23.06.1937;11,9;13,8;10,6;14;-
Oslo - Blindern;SN18700;24.06.1937;12,8;17,1;10,6;5,1;-
Oslo - Blindern;SN18700;25.06.1937;12,9;18,8;3,9;0;-
Oslo - Blindern;SN18700;26.06.1937;16;21,3;10,8;0;-
Oslo - Blindern;SN18700;27.06.1937;17,1;21,1;9,8;0;-
Oslo - Blindern;SN18700;28.06.1937;13,2;20,4;9,8;0;-
Oslo - Blindern;SN18700;29.06.1937;13,8;15,8;12,8;2,4;-
Oslo - Blindern;SN18700;30.06.1937;14,1;19,2;9;3,7;-
Oslo - Blindern;SN18700;01.07.1937;13;16,5;8;0;-
Oslo - Blindern;SN18700;02.07.1937;14,7;21,2;6,5;0;-
Oslo - Blindern;SN18700;03.07.1937;16,4;21,2;12,3;0;-
Oslo - Blindern;SN18700;04.07.1937;19,9;25,2;13,3;0;-
Oslo - Blindern;SN18700;05.07.1937;21,6;27,7;11,4;0;-
Oslo - Blindern;SN18700;06.07.1937;20,9;28,9;12,3;0;-
Oslo - Blindern;SN18700;07.07.1937;21,4;26,9;13,6;0;-
Oslo - Blindern;SN18700;08.07.1937;19,1;27,7;12,4;0;-
Oslo - Blindern;SN18700;09.07.1937;19,1;24,5;15;0;-
Oslo - Blindern;SN18700;10.07.1937;17,4;21,7;14,4;0;-
Oslo - Blindern;SN18700;11.07.1937;18,6;23,5;12,1;0,3;-
Oslo - Blindern;SN18700;12.07.1937;21,4;26,5;15;0;-
Oslo - Blindern;SN18700;13.07.1937;19,8;25,8;13,4;0;-
Oslo - Blindern;SN18700;14.07.1937;18,1;23,6;13,9;0;-
Oslo - Blindern;SN18700;15.07.1937;18,4;23,7;15;0;-
Oslo - Blindern;SN18700;16.07.1937;20,9;24,8;16,3;0;-
Oslo - Blindern;SN18700;17.07.1937;16,6;23,7;14,4;2,1;-
Oslo - Blindern;SN18700;18.07.1937;17;22,7;8,9;8,8;-
Oslo - Blindern;SN18700;19.07.1937;17,7;21,6;13,3;0;-
Oslo - Blindern;SN18700;20.07.1937;18,8;22,5;13,5;0;-
Oslo - Blindern;SN18700;21.07.1937;18,9;25,7;11,5;0;-
Oslo - Blindern;SN18700;22.07.1937;18,4;23,4;13,9;0;-
Oslo - Blindern;SN18700;23.07.1937;17,6;20,1;14,4;15;-
Oslo - Blindern;SN18700;24.07.1937;17,4;23,3;12,7;1,7;-
Oslo - Blindern;SN18700;25.07.1937;17,4;22,7;13,8;4;-
Oslo - Blindern;SN18700;26.07.1937;18,2;23,2;12,8;1,1;-
Oslo - Blindern;SN18700;27.07.1937;18,3;24;14,2;0;-
Oslo - Blindern;SN18700;28.07.1937;18,4;23,8;15,3;3,2;-
Oslo - Blindern;SN18700;29.07.1937;19,7;24;12,5;0,1;-
Oslo - Blindern;SN18700;30.07.1937;20,7;27,1;12,7;0;-
Oslo - Blindern;SN18700;31.07.1937;22,7;28,5;15,1;0;-
Oslo - Blindern;SN18700;01.08.1937;21,5;28,1;12;0;-
Oslo - Blindern;SN18700;02.08.1937;20,9;26,2;16,1;0;-
Oslo - Blindern;SN18700;03.08.1937;21,5;26,1;13,2;0;-
Oslo - Blindern;SN18700;04.08.1937;21,1;25,8;14,4;0;-
Oslo - Blindern;SN18700;05.08.1937;21,7;26,6;16,8;0;-
Oslo - Blindern;SN18700;06.08.1937;20,2;26,2;11,9;0;-
Oslo - Blindern;SN18700;07.08.1937;20,2;25,4;13,8;0;-
Oslo - Blindern;SN18700;08.08.1937;19,4;21,5;18;0,2;-
Oslo - Blindern;SN18700;09.08.1937;18,8;25,2;10,8;1,2;-
Oslo - Blindern;SN18700;10.08.1937;18,8;25,3;10,8;0;-
Oslo - Blindern;SN18700;11.08.1937;15,7;23,2;12,7;5,7;-
Oslo - Blindern;SN18700;12.08.1937;17,9;22,9;13;0;-
Oslo - Blindern;SN18700;13.08.1937;17,8;24,7;13,7;0;-
Oslo - Blindern;SN18700;14.08.1937;16,1;18,4;13,8;5,1;-
Oslo - Blindern;SN18700;15.08.1937;16,7;19,8;15;0;-
Oslo - Blindern;SN18700;16.08.1937;16;19,6;12,9;0,7;-
Oslo - Blindern;SN18700;17.08.1937;18,4;22,3;15;2,8;-
Oslo - Blindern;SN18700;18.08.1937;18;22,4;13,8;1,2;-
Oslo - Blindern;SN18700;19.08.1937;16;19,7;12,8;0;-
Oslo - Blindern;SN18700;20.08.1937;16,8;23,3;10,7;1,2;-
Oslo - Blindern;SN18700;21.08.1937;19,9;23,9;15,6;0,3;-
Oslo - Blindern;SN18700;22.08.1937;19,4;25,9;12,3;0,4;-
Oslo - Blindern;SN18700;23.08.1937;18,7;25,9;12,3;0;-
Oslo - Blindern;SN18700;24.08.1937;19,1;25,1;11,4;0;-
Oslo - Blindern;SN18700;25.08.1937;18,1;25,3;10,8;0;-
Oslo - Blindern;SN18700;26.08.1937;18;26,6;9,5;0;-
Oslo - Blindern;SN18700;27.08.1937;19,4;27,2;10,4;0,7;-
Oslo - Blindern;SN18700;28.08.1937;18,3;22,9;15,6;0;-
Oslo - Blindern;SN18700;29.08.1937;17,5;22,5;12,7;0;-
Oslo - Blindern;SN18700;30.08.1937;16,7;21;12;0;-
Oslo - Blindern;SN18700;31.08.1937;14,8;19,9;10,7;14;-
Oslo - Blindern;SN18700;01.09.1937;15,4;19,5;10,3;0;-
Oslo - Blindern;SN18700;02.09.1937;16,7;22;12,5;11,8;-
Oslo - Blindern;SN18700;03.09.1937;15,6;20,4;8,2;3,2;-
Oslo - Blindern;SN18700;04.09.1937;15,1;19,7;9,9;0;-
Oslo - Blindern;SN18700;05.09.1937;12,6;17,4;4,8;0;-
Oslo - Blindern;SN18700;06.09.1937;14,2;18,6;8,5;12,5;-
Oslo - Blindern;SN18700;07.09.1937;15,6;19,1;14,1;2,9;-
Oslo - Blindern;SN18700;08.09.1937;12,5;16,9;9,4;2,6;-
Oslo - Blindern;SN18700;09.09.1937;10,2;16;5,4;2,8;-
Oslo - Blindern;SN18700;10.09.1937;11,6;18,2;4,1;0;-
Oslo - Blindern;SN18700;11.09.1937;12,2;17,1;7,2;0;-
Oslo - Blindern;SN18700;12.09.1937;11,2;14,9;7,6;0;-
Oslo - Blindern;SN18700;13.09.1937;8,9;10,8;7,3;0,3;-
Oslo - Blindern;SN18700;14.09.1937;7,2;9,4;6,1;9,3;-
Oslo - Blindern;SN18700;15.09.1937;8;10;5,4;0,7;-
Oslo - Blindern;SN18700;16.09.1937;9;11,6;4,6;0,6;-
Oslo - Blindern;SN18700;17.09.1937;11,4;13,4;9,2;8,3;-
Oslo - Blindern;SN18700;18.09.1937;12,2;14,5;10;36,8;-
Oslo - Blindern;SN18700;19.09.1937;12,7;15,4;10,1;21,2;-
Oslo - Blindern;SN18700;20.09.1937;12,6;14,6;9,8;0;-
Oslo - Blindern;SN18700;21.09.1937;11,1;14,8;10;0,7;-
Oslo - Blindern;SN18700;22.09.1937;10,4;14;5,6;0;-
Oslo - Blindern;SN18700;23.09.1937;12,7;18,6;7,2;0;-
Oslo - Blindern;SN18700;24.09.1937;10,8;14,2;4,2;0,1;-
Oslo - Blindern;SN18700;25.09.1937;12,1;17,1;8,5;2,5;-
Oslo - Blindern;SN18700;26.09.1937;9,1;15,6;2,3;0;-
Oslo - Blindern;SN18700;27.09.1937;9;11,9;4,1;0;-
Oslo - Blindern;SN18700;28.09.1937;11,1;13;10,1;0,7;-
Oslo - Blindern;SN18700;29.09.1937;9,2;15,1;2,3;4,1;-
Oslo - Blindern;SN18700;30.09.1937;10,3;15;3;0;-
Oslo - Blindern;SN18700;01.10.1937;11;14,4;9;0;-
Oslo - Blindern;SN18700;02.10.1937;8,6;10,6;6,1;0;-
Oslo - Blindern;SN18700;03.10.1937;9,5;12,1;4,2;0;-
Oslo - Blindern;SN18700;04.10.1937;9,2;10,5;8;0;-
Oslo - Blindern;SN18700;05.10.1937;10,1;12;8,3;0;-
Oslo - Blindern;SN18700;06.10.1937;9,1;10,5;7,7;0;-
Oslo - Blindern;SN18700;07.10.1937;7,6;9,7;6,8;0;-
Oslo - Blindern;SN18700;08.10.1937;8,2;11,5;6,1;0;-
Oslo - Blindern;SN18700;09.10.1937;6,5;10;3,5;0;-
Oslo - Blindern;SN18700;10.10.1937;6;10,3;0,5;0,1;-
Oslo - Blindern;SN18700;11.10.1937;8,5;12,8;1,3;0;-
Oslo - Blindern;SN18700;12.10.1937;5,2;8,9;0,6;0;-
Oslo - Blindern;SN18700;13.10.1937;5,1;11,7;-1;0;-
Oslo - Blindern;SN18700;14.10.1937;7,4;8,7;3,6;0,6;-
Oslo - Blindern;SN18700;15.10.1937;7,9;10,1;6,1;0,4;-
Oslo - Blindern;SN18700;16.10.1937;9;14,2;2,6;0,3;-
Oslo - Blindern;SN18700;17.10.1937;6,4;10,9;1,7;0;-
Oslo - Blindern;SN18700;18.10.1937;13,2;19;6,8;0;-
Oslo - Blindern;SN18700;19.10.1937;9,4;15,5;4,3;0;-
Oslo - Blindern;SN18700;20.10.1937;7,9;11,4;2,8;0;-
Oslo - Blindern;SN18700;21.10.1937;8,9;10,5;5,9;0;-
Oslo - Blindern;SN18700;22.10.1937;9,1;9,9;7,7;0;-
Oslo - Blindern;SN18700;23.10.1937;8,9;10,4;6,9;2,5;-
Oslo - Blindern;SN18700;24.10.1937;9,7;10,4;9,1;0,7;-
Oslo - Blindern;SN18700;25.10.1937;8,5;11,2;5,6;16,1;-
Oslo - Blindern;SN18700;26.10.1937;8;9;5,3;0;-
Oslo - Blindern;SN18700;27.10.1937;10,7;11,4;8;4,2;-
Oslo - Blindern;SN18700;28.10.1937;8,9;11,1;7,1;6,4;-
Oslo - Blindern;SN18700;29.10.1937;8,8;9,7;8,1;0,1;-
Oslo - Blindern;SN18700;30.10.1937;8,5;9,2;7,3;0;-
Oslo - Blindern;SN18700;31.10.1937;9,2;9,8;8,3;0,9;-
Oslo - Blindern;SN18700;01.11.1937;8,2;9,5;7,2;0,2;0
Oslo - Blindern;SN18700;02.11.1937;7,2;7,7;6,7;0,1;0
Oslo - Blindern;SN18700;03.11.1937;5,3;8,6;3,5;0;0
Oslo - Blindern;SN18700;04.11.1937;2,5;4,3;0;0;0
Oslo - Blindern;SN18700;05.11.1937;5,2;5,9;3,2;0;0
Oslo - Blindern;SN18700;06.11.1937;0,8;5,5;-0,9;0;0
Oslo - Blindern;SN18700;07.11.1937;1,3;2,6;-0,6;0;0
Oslo - Blindern;SN18700;08.11.1937;3,1;3,8;1,7;0;0
Oslo - Blindern;SN18700;09.11.1937;3,9;4,8;2,7;0,5;0
Oslo - Blindern;SN18700;10.11.1937;2,9;4,1;2,4;0;0
Oslo - Blindern;SN18700;11.11.1937;1,5;2,8;0,9;0;0
Oslo - Blindern;SN18700;12.11.1937;0,2;2,6;-4,2;0;0
Oslo - Blindern;SN18700;13.11.1937;-1,3;4;-6,4;0;0
Oslo - Blindern;SN18700;14.11.1937;-1;3,1;-4,1;0;0
Oslo - Blindern;SN18700;15.11.1937;-3,8;0,6;-7,6;0;0
Oslo - Blindern;SN18700;16.11.1937;-1,6;2,1;-5,5;0;0
Oslo - Blindern;SN18700;17.11.1937;-2,4;0,1;-6,1;0;0
Oslo - Blindern;SN18700;18.11.1937;-2,6;-0,3;-4,5;0;0
Oslo - Blindern;SN18700;19.11.1937;-2,2;-1,5;-3,8;0;0
Oslo - Blindern;SN18700;20.11.1937;1,1;2,8;-2,6;4,3;6
Oslo - Blindern;SN18700;21.11.1937;0,9;3,3;-1;6;2
Oslo - Blindern;SN18700;22.11.1937;-5;0,3;-7,8;0,6;2
Oslo - Blindern;SN18700;23.11.1937;-5,1;-2,9;-7,8;0,4;3
Oslo - Blindern;SN18700;24.11.1937;-9,4;-5,7;-11,4;0;3
Oslo - Blindern;SN18700;25.11.1937;-0,3;4,3;-13,5;1,5;4
Oslo - Blindern;SN18700;26.11.1937;-1,9;5,1;-4,7;0;3
Oslo - Blindern;SN18700;27.11.1937;0,4;3,4;-3,9;0;3
Oslo - Blindern;SN18700;28.11.1937;-1,7;2,7;-3,9;0;3
Oslo - Blindern;SN18700;29.11.1937;-3,5;-1,1;-5,2;0;3
Oslo - Blindern;SN18700;30.11.1937;-1,5;0,2;-4,9;0;3
Oslo - Blindern;SN18700;01.12.1937;-2,8;-0,4;-3,9;12,8;20
Oslo - Blindern;SN18700;02.12.1937;-5;-2,8;-5,6;10,1;33
Oslo - Blindern;SN18700;03.12.1937;-7,7;-5,1;-8,7;4,2;44
Oslo - Blindern;SN18700;04.12.1937;-9,4;-8,1;-11,8;0;42
Oslo - Blindern;SN18700;05.12.1937;-11,2;-9,7;-13,2;0;34
Oslo - Blindern;SN18700;06.12.1937;-7,2;-5,6;-15,4;0;35
Oslo - Blindern;SN18700;07.12.1937;-5,2;-3,7;-6,2;6,5;44
Oslo - Blindern;SN18700;08.12.1937;-5,3;-3,7;-7;0,2;40
Oslo - Blindern;SN18700;09.12.1937;-6,4;-4,5;-9,5;0;39
Oslo - Blindern;SN18700;10.12.1937;-9,3;-5,2;-11,3;0;38
Oslo - Blindern;SN18700;11.12.1937;-11,5;-7,4;-16;0;37
Oslo - Blindern;SN18700;12.12.1937;-8,3;-4,7;-18,7;0,8;37
Oslo - Blindern;SN18700;13.12.1937;-1;0,2;-5,9;8,8;48
Oslo - Blindern;SN18700;14.12.1937;-1,1;1,5;-2,8;7,1;54
Oslo - Blindern;SN18700;15.12.1937;-1,7;-1;-2,8;0;52
Oslo - Blindern;SN18700;16.12.1937;-1,5;-1,1;-2,5;3,2;52
Oslo - Blindern;SN18700;17.12.1937;-2,8;-1,2;-4;1;50
Oslo - Blindern;SN18700;18.12.1937;-3,6;-2,5;-4;3,1;54
Oslo - Blindern;SN18700;19.12.1937;-5,2;-3,5;-6,5;0,5;52
Oslo - Blindern;SN18700;20.12.1937;-9;-5,6;-11,8;0;52
Oslo - Blindern;SN18700;21.12.1937;-10,5;-8,9;-14,4;0;50
Oslo - Blindern;SN18700;22.12.1937;-3;-0,7;-11,1;0;52
Oslo - Blindern;SN18700;23.12.1937;-0,7;-0,3;-1,1;0,8;48
Oslo - Blindern;SN18700;24.12.1937;-5,2;-0,2;-7,5;5,7;52
Oslo - Blindern;SN18700;25.12.1937;-3,1;0;-6;9,8;62
Oslo - Blindern;SN18700;26.12.1937;-4,7;-3,2;-9,9;0,4;59
Oslo - Blindern;SN18700;27.12.1937;-6,1;-3,7;-7,7;0;59
Oslo - Blindern;SN18700;28.12.1937;-3,2;-0,7;-10,4;2,2;55
Oslo - Blindern;SN18700;29.12.1937;-9,9;-4,4;-11,8;0;53
Oslo - Blindern;SN18700;30.12.1937;-8,3;-6,7;-11,1;0;52
Oslo - Blindern;SN18700;31.12.1937;-0,5;4,5;-9,5;0;51
Oslo - Blindern;SN18700;01.01.1938;-3,4;1,3;-5,4;0;51
Oslo - Blindern;SN18700;02.01.1938;-4,5;-2,5;-4,8;0,8;52
Oslo - Blindern;SN18700;03.01.1938;-8,8;-4,8;-12,3;0,6;51
Oslo - Blindern;SN18700;04.01.1938;-0,2;1,7;-7,3;0;50
Oslo - Blindern;SN18700;05.01.1938;-4,8;0,6;-7,6;0;49
Oslo - Blindern;SN18700;06.01.1938;-9,3;-5,8;-11,2;0;49
Oslo - Blindern;SN18700;07.01.1938;-11;-8,9;-13,4;0;48
Oslo - Blindern;SN18700;08.01.1938;-10,5;-8,4;-12,5;0;48
Oslo - Blindern;SN18700;09.01.1938;-5,2;-3,4;-12,2;0,7;49
Oslo - Blindern;SN18700;10.01.1938;-1,6;-1;-4,5;0,8;50
Oslo - Blindern;SN18700;11.01.1938;-4,3;-1,2;-6,2;0,5;50
Oslo - Blindern;SN18700;12.01.1938;-6,9;-5;-8,9;0;50
Oslo - Blindern;SN18700;13.01.1938;-2,4;0,1;-10,6;0,2;50
Oslo - Blindern;SN18700;14.01.1938;-1,2;0,8;-3,2;5,6;55
Oslo - Blindern;SN18700;15.01.1938;0,9;2,1;-5,8;1;53
Oslo - Blindern;SN18700;16.01.1938;1,4;2,6;0;18,9;49
Oslo - Blindern;SN18700;17.01.1938;-0,3;3;-3,8;9,2;47
Oslo - Blindern;SN18700;18.01.1938;-3,8;1,2;-7,9;0;46
Oslo - Blindern;SN18700;19.01.1938;-4,8;-3;-11,4;0;46
Oslo - Blindern;SN18700;20.01.1938;-1,9;-1,4;-3,5;0,5;47
Oslo - Blindern;SN18700;21.01.1938;1,7;3,5;-1,8;1,9;47
Oslo - Blindern;SN18700;22.01.1938;0,3;2,9;-2,5;5,2;45
Oslo - Blindern;SN18700;23.01.1938;6;10,6;-2,4;0;45
Oslo - Blindern;SN18700;24.01.1938;1,1;6,9;0,1;0;43
Oslo - Blindern;SN18700;25.01.1938;1,6;3,3;-1,4;1,9;43
